City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,87.75,49,59,13.65,US,1685225386
1,broken hill,-31.95,141.4333,48.18,69,65,10.27,AU,1685225386
2,olonkinbyen,70.9221,-8.7187,31.01,72,54,15.88,SJ,1685225387
3,port-aux-francais,-49.35,70.2167,41.47,87,100,32.91,TF,1685225387
4,at taj,24.2049,23.2857,74.98,36,0,17.81,LY,1685225387
5,trincomalee,8.5711,81.2335,82.27,79,81,17.56,LK,1685225388
6,blackmans bay,-43.0167,147.3167,49.73,89,100,3.31,AU,1685225388
7,dudinka,69.4058,86.1778,40.62,82,30,16.75,RU,1685225388
8,cannonvale,-20.2833,148.7,67.39,61,21,11.05,AU,1685225388
9,waitangi,-43.9535,-176.5597,59.83,94,70,1.99,NZ,1685225389
10,vadso,70.0744,29.7487,41.88,80,97,3.44,NO,1685225389
11,port elizabeth,-33.918,25.5701,56.32,59,0,1.99,ZA,1685225389
12,hilo,19.7297,-155.09,82.27,71,40,8.05,US,1685225117
13,grytviken,-54.2811,-36.5092,32.83,85,92,13.62,GS,1685225390
14,whitehorse,60.7161,-135.0538,48.31,49,100,15.01,CA,1685225292
15,irtyshsk,53.3333,75.4572,49.24,44,1,2.75,KZ,1685225390
16,puerto natales,-51.7236,-72.4875,34.9,86,97,6.69,CL,1685225302
17,enewetak,11.3474,162.3373,81.75,79,100,15.57,MH,1685225391
18,tolanaro,-25.0319,46.9987,70.7,88,100,11.72,MG,1685225391
19,alesund,62.4723,6.1549,48.33,81,100,31.07,NO,1685225391
20,ketchikan,55.3422,-131.6461,50.47,81,100,11.5,US,1685225392
21,nyurba,63.2842,118.3319,44.51,92,100,6.53,RU,1685225392
22,port mathurin,-19.6833,63.4167,77.67,72,99,18.97,MU,1685225392
23,iqaluit,63.7506,-68.5145,27.7,63,100,5.99,CA,1685225392
24,berezovyy,51.6667,135.7,41.02,78,100,6.91,RU,1685225393
25,avarua,-21.2078,-159.775,78.85,83,40,14.97,CK,1685225393
26,autazes,-3.5797,-59.1306,80.96,73,100,2.75,BR,1685225393
27,laguna,38.421,-121.4238,83.32,50,0,10.36,US,1685225394
28,klyuchi,52.2667,79.1667,46.58,53,34,8.5,RU,1685225394
